,Short Percent of Float,Short % Increase / Decrease,% Owned by Insiders,% Owned by Institutions,Trading Volume - Today,Trading Volume - Average,Short Interest Ratio (Days To Cover)
BWA,NAN,1.0,0.39,91.53,1837319.0,1837319.0,6.5
BXP,NAN,-11.0,0.14,97.42,878659.0,878659.0,3.2
BSX,NAN,2.0,NAN,NAN,19215819.0,19215819.0,1.1
BMY,NAN,31.0,0.08,75.79,16142323.0,16142323.0,1.8
AVGO,0.99,4.0,2.49,83.17,1235088.0,1235088.0,2.4
BR,1.43,-8.0,0.69,88.34,739380.0,739380.0,3.0
CHRW,9.63,0.0,0.84,96.27,741847.0,741847.0,9.8
COG,6.53,21.0,NAN,NAN,12395079.0,12395079.0,4.3
CDNS,1.08,0.0,1.32,88.72,1795723.0,1795723.0,2.0
CPB,10.54,11.0,35.54,53.76,1253474.0,1253474.0,9.8
COF,1.21,14.0,0.89,92.27,3913197.0,3913197.0,1.7
CAH,1.2,17.0,0.18,87.74,3018173.0,3018173.0,1.7
KMX,5.85,-3.0,NAN,NAN,1022801.0,1022801.0,6.1
CCL,NAN,6.0,9.63,43.71,29570447.0,29570447.0,1.1
CTLT,NAN,6.0,NAN,NAN,878109.0,878109.0,1.7
CAT,1.39,5.0,0.19,69.59,2237648.0,2237648.0,2.4
CBRE,1.67,-11.0,0.7,97.95,1037982.0,1037982.0,2.9
CDW,1.24,-8.0,0.92,94.39,627008.0,627008.0,2.0
CE,1.21,-9.0,NAN,NAN,682288.0,682288.0,1.6
CNC,NAN,2.0,1.82,95.05,4279006.0,4279006.0,2.2
CNP,NAN,2.0,0.29,98.01,2423273.0,2423273.0,3.3
CERN,4.48,4.0,0.14,87.24,927149.0,927149.0,9.0
CF,1.93,31.0,0.52,94.08,1212575.0,1212575.0,1.6
SCHW,NAN,-1.0,7.11,70.38,7709388.0,7709388.0,1.7
CHTR,7.9,0.0,NAN,NAN,730686.0,730686.0,9.3
CVX,NAN,14.0,0.04,62.86,7978326.0,7978326.0,1.4
CMG,2.82,-4.0,1.15,97.69,313661.0,313661.0,2.6
CB,0.68,6.0,0.44,91.51,2232210.0,2232210.0,1.7
CHD,NAN,7.0,0.19,86.02,1457030.0,1457030.0,3.1
CI,1.23,23.0,1.51,91.33,2812127.0,2812127.0,2.2
CINF,4.21,9.0,6.85,67.57,494820.0,494820.0,6.3
CTAS,0.95,5.0,14.44,66.67,418651.0,418651.0,1.9
CSCO,1.03,7.0,0.06,74.11,25155008.0,25155008.0,1.9
C,1.28,11.0,0.22,76.17,13446159.0,13446159.0,1.2
CFG,1.3,-15.0,NAN,NAN,2524872.0,2524872.0,1.4
CTXS,4.61,-9.0,0.66,94.61,650229.0,650229.0,3.2
CLX,10.13,4.0,0.17,85.84,2789723.0,2789723.0,8.0
CME,1.75,14.0,1.39,86.9,1671711.0,1671711.0,3.6
CMS,NAN,4.0,0.45,92.85,1901572.0,1901572.0,2.4
KO,0.47,-21.0,0.7,68.2,12486661.0,12486661.0,1.1
CTSH,1.56,6.0,0.24,93.76,4639083.0,4639083.0,2.9
CL,0.78,-20.0,0.23,80.69,3513143.0,3513143.0,1.7
CMCSA,1.75,3.0,0.67,85.68,11406750.0,11406750.0,4.4
CMA,1.85,-2.0,1.03,81.08,949544.0,949544.0,1.4
CAG,NAN,6.0,0.41,84.75,2938270.0,2938270.0,2.9
COP,NAN,16.0,0.04,75.96,9490588.0,9490588.0,3.9
ED,NAN,-19.0,0.16,64.81,1633940.0,1633940.0,2.7
STZ,1.93,46.0,9.74,84.62,1000657.0,1000657.0,2.7
COO,1.37,3.0,NAN,NAN,293543.0,293543.0,2.6
CPRT,1.43,-13.0,11.74,82.8,1745471.0,1745471.0,2.3
GLW,1.27,-2.0,0.32,76.8,2225554.0,2225554.0,2.4
COST,NAN,-7.0,0.22,70.04,2070734.0,2070734.0,1.5
CCI,NAN,-17.0,0.41,92.76,2144767.0,2144767.0,1.5
CSX,1.16,9.0,0.11,76.66,3088708.0,3088708.0,2.1
CMI,2.09,12.0,0.32,85.28,1368757.0,1368757.0,2.7
CVS,NAN,-3.0,0.17,78.0,6407034.0,6407034.0,2.0
DHI,1.66,9.0,8.7,84.14,2912243.0,2912243.0,1.9
DHR,0.81,4.0,11.28,81.53,1470933.0,1470933.0,2.0
DRI,NAN,-16.0,0.78,93.03,2174506.0,2174506.0,2.1
DVA,3.52,-4.0,NAN,NAN,791634.0,791634.0,5.1
DE,0.83,20.0,0.24,81.16,1226456.0,1226456.0,1.6
